source_name,trt_name,trt_n_downsample,trt_hsurf_bits,replicate_uuid,sum leaf count,sum defmut
uk,Sben1.3x/Gneu,1000000,64,46ac4a02-4fca-8d5f-b9e6-2ac4c32d1eef,16,16
uk,Sben1.3x/Gneu,1000000,0,73a047ce-c7b3-8005-a23e-b33d8382a8f8,28,10
uk,Sben2x/Gneu,1000000,64,f99d06e0-1b1f-8bd4-9755-bd90e4015a04,370,370
uk,Sneu/Gneu,1000000,64,0d0d64e7-6ff8-8555-bdd5-97a19d5b0fea,0,0
uk,Sben1.3x/Gneu,1000000,0,00313b75-014e-82cc-9f60-e94d68954506,68,14
uk,Sben2x/Gdel2x,1000000,0,10d4fad1-bc3a-8c8a-bb1a-3e049dfbddea,709,277
uk,Sben1.3x/Gneu,1000000,64,73a047ce-c7b3-8005-a23e-b33d8382a8f8,6,6
uk,Sben1.1x/Gneu,1000000,0,7a5dc9b8-fff8-8d55-99d8-d634bfece924,1,1
uk,Sben1.1x/Gneu,1000000,0,7f02ab73-bb7d-8cb6-a55d-aea1dbdf3976,1,1
uk,Sneu/Gneu,1000000,64,bc02d4dc-d4e0-84f7-9aa9-a642dc7d09fe,0,0
uk,Sben1.1x/Gneu,1000000,64,07062d1e-9a3d-81e2-947e-dc17ec43dd70,2,2
uk,Sneu/Gneu,1000000,0,e7738de2-4f00-8969-858f-2b2adc40d073,0,0
uk,Sben1.3x/Gneu,1000000,64,0ade01e7-0c7d-8bf6-8ce0-a7a0fc5ae05d,7,7
uk,Sben1.3x/Gdel1.3x,1000000,64,0df8051c-0c9a-8f93-b8d9-d11f52c10d2d,7,7
uk,Sben1.1x/Gdel1.1x,1000000,64,39c16740-e09f-80b6-ab78-34d2ced70d7f,1,1
uk,Sben1.3x/Gdel1.3x,1000000,64,51350c03-ae65-8271-93fe-88c68b8a6704,6,6
uk,Sben1.1x/Gneu,1000000,64,f8e91f25-545e-8cb9-9718-664669b5a967,0,0
