,,,,sum leaf count,sum leaf count,sum defmut,sum defmut
,,,,mean,std,mean,std
source_name,trt_name,trt_n_downsample,trt_hsurf_bits,,,,
multistrain,Sben1.1x/Gdel1.1x,1000000,0,865.75,438.37303369010584,25.5,1.2909944487358056
multistrain,Sben1.1x/Gneu,1000000,0,323.4,241.08670639419336,29.4,10.13903348450926
multistrain,Sben1.3x/Gdel1.3x,1000000,0,1543.8,380.31066248528975,297.2,26.442390209661458
multistrain,Sben1.3x/Gneu,1000000,0,6386.8,2054.2219208254983,423.0,34.26368339802363
multistrain,Sben2x/Gdel2x,1000000,0,12510.8,1560.2484417553505,5630.4,48.706262431026346
multistrain,Sben2x/Gneu,1000000,0,105072.2,1953.9230281666682,9488.4,83.11016784966813
multistrain,Sneu/Gneu,1000000,0,92.0,92.40129869217208,16.6,3.577708763999663
uk,Sben1.1x/Gdel1.1x,1000000,0,1.6,1.3416407864998738,1.4,1.1401754250991378
uk,Sben1.1x/Gdel1.1x,1000000,64,1.2,1.0954451150103324,1.2,1.0954451150103324
uk,Sben1.1x/Gneu,1000000,0,3.2,3.5637059362410923,1.2,0.8366600265340756
uk,Sben1.1x/Gneu,1000000,64,1.0,0.7071067811865476,1.0,0.7071067811865476
uk,Sben1.3x/Gdel1.3x,1000000,0,67.8,21.37054047047009,13.8,4.43846820423443
uk,Sben1.3x/Gdel1.3x,1000000,64,9.0,2.5495097567963922,9.0,2.5495097567963922
uk,Sben1.3x/Gneu,1000000,0,130.0,168.1918547373802,13.4,4.449719092257398
uk,Sben1.3x/Gneu,1000000,64,10.4,5.128352561983234,10.4,5.128352561983234
uk,Sben2x/Gdel2x,1000000,0,559.2,83.95653637448369,275.2,19.408760908414536
uk,Sben2x/Gdel2x,1000000,64,210.2,15.896540504147433,210.2,15.896540504147433
uk,Sben2x/Gneu,1000000,0,6436.6,4530.978183571402,510.0,62.068510534730905
uk,Sben2x/Gneu,1000000,64,348.6,47.74725122978286,348.6,47.74725122978286
uk,Sneu/Gneu,1000000,0,1.2,1.6431676725154984,1.0,1.4142135623730951
uk,Sneu/Gneu,1000000,64,0.6,1.3416407864998738,0.6,1.3416407864998738
vanilla,Sben1.1x/Gdel1.1x,1000000,0,141.2,103.68799351901839,18.4,4.159326868617084
vanilla,Sben1.1x/Gneu,1000000,0,525.0,478.75202349441827,21.2,5.630275304103699
vanilla,Sben1.3x/Gdel1.3x,1000000,0,6154.4,9340.473986902378,361.4,37.206182281981036
vanilla,Sben1.3x/Gneu,1000000,0,29039.6,10707.88078006101,465.6,41.65693219621435
vanilla,Sben2x/Gdel2x,1000000,0,18099.4,6142.330160452138,6679.0,82.20401450050954
vanilla,Sben2x/Gneu,1000000,0,299979.0,19759.379924481436,8493.2,284.4603663078569
vanilla,Sneu/Gneu,1000000,0,85.0,80.65667982256646,14.8,1.6431676725154982
vanilla-big,Sben1.1x/Gdel1.1x,200000,0,201.0,167.00898179439332,17.333333333333332,2.309401076758503
vanilla-big,Sben1.1x/Gdel1.1x,200000,64,12.666666666666666,3.0550504633038935,12.666666666666666,3.0550504633038935
vanilla-big,Sben1.1x/Gdel1.1x,2000000,0,2684.6666666666665,2453.320674786183,64.66666666666667,6.658328118479392
vanilla-big,Sben1.1x/Gneu,200000,0,356.0,391.598008166538,18.333333333333332,4.509249752822894
vanilla-big,Sben1.1x/Gneu,200000,64,30.0,27.622454633866266,30.0,27.622454633866266
vanilla-big,Sben1.1x/Gneu,2000000,0,4005.6666666666665,3699.221719947769,67.66666666666667,10.692676621563628
vanilla-big-1.3x,Sben1.3x/Gdel1.3x,200000,0,409.2,51.64978218734325,248.8,15.801898620102586
vanilla-big-1.3x,Sben1.3x/Gdel1.3x,2000000,0,4892.6,1014.803823406278,1292.0,23.65375234502974
vanilla-big-1.3x,Sben1.3x/Gneu,200000,0,5819.0,1354.6761605638449,484.0,36.013886210738214
vanilla-big-1.3x,Sben1.3x/Gneu,2000000,0,58494.4,13840.21483937298,1758.8,59.187836588272084
