SLURM_ARRAY_JOB_ID,SLURM_ARRAY_TASK_COUNT,SLURM_ARRAY_TASK_ID,SLURM_ARRAY_TASK_MAX,SLURM_ARRAY_TASK_MIN,SLURM_JOB_ID,cfg_make_cv_sim_recipe,cfg_make_wt_specs_recipe,cfg_maxseqlen,cfg_n_imports_mx,cfg_num_mut_sites,cfg_p_wt_to_mut,cfg_pop_size,cfg_refseqs,cfg_suffix_mut,cfg_suffix_wt,replicate_num,replicate_uuid,trt_eff_size,trt_mutmx_active_strain_factor,trt_mutmx_rel_beta,trt_mutmx_withinhost_r,trt_name,trt_seed,trt_type,cumulative_infections,cumulative_reinfections,cumulative_infectious,cumulative_symptomatic_cases,cumulative_severe_cases,cumulative_critical_cases,cumulative_recoveries,cumulative_deaths,cumulative_tests,cumulative_diagnoses,cumulative_known_deaths,cumulative_quarantined_people,cumulative_isolated_people,cumulative_vaccine_doses,cumulative_vaccinated_people
56516689,35,20,34,0,56516760,make_cv_sim_uk,make_wt_specs_single,49,1000,1,2e-06,200000,https://osf.io/hp25c/download,',+,2,e7738de2-4f00-8969-858f-2b2adc40d073,1.0,1.0,1.0,1.0,Sneu/Gneu,20,Sneu/Gneu,4811198,364037,4813584,3287267,299693,101036,4767921,44706,165921579,887804,19577,10559034,888485,55845477,28152774
56516689,35,16,34,0,56516756,make_cv_sim_uk,make_wt_specs_single,49,1000,1,2e-06,200000,https://osf.io/hp25c/download,',+,2,f99d06e0-1b1f-8bd4-9755-bd90e4015a04,2.0,1.0,1.0,2.0,Sben2x/Gneu,16,Sben/Gneu,3630325,254344,3629887,2471711,231468,79177,3600301,32855,166490460,501126,10562,5168196,501254,55424466,27944919
56516689,35,32,34,0,56516789,make_cv_sim_uk,make_wt_specs_single,49,1000,1,2e-06,200000,https://osf.io/hp25c/download,',+,4,51350c03-ae65-8271-93fe-88c68b8a6704,1.3,1.0,0.75,1.3,Sben1.3x/Gdel1.3x,32,Sben/Gdel,4421251,306699,4424362,3040153,276657,101067,4387984,42137,165743856,684865,16563,7561179,684977,55597725,28043964
56516689,35,15,34,0,56516755,make_cv_sim_uk,make_wt_specs_single,49,1000,1,2e-06,200000,https://osf.io/hp25c/download,',+,2,46ac4a02-4fca-8d5f-b9e6-2ac4c32d1eef,1.3,1.0,1.0,1.3,Sben1.3x/Gneu,15,Sben/Gneu,6283191,528878,6289770,4320346,400180,134311,6234787,58088,164671380,1407042,27595,18284823,1406603,55747269,28120131
56516689,35,10,34,0,56516749,make_cv_sim_uk,make_wt_specs_single,49,1000,1,2e-06,200000,https://osf.io/hp25c/download,',+,1,d77074d3-6b4e-8f5f-a4cc-9ef97fabfef1,1.1,1.0,0.9,1.1,Sben1.1x/Gdel1.1x,10,Sben/Gdel,6679643,585665,6677619,4567898,431105,141695,6622529,59707,165215988,1554947,31597,20193253,1556442,55443996,27966681
56516689,35,21,34,0,56516762,make_cv_sim_uk,make_wt_specs_single,49,1000,1,2e-06,200000,https://osf.io/hp25c/download,',+,3,7a5dc9b8-fff8-8d55-99d8-d634bfece924,1.1,1.0,1.0,1.1,Sben1.1x/Gneu,21,Sben/Gneu,3888575,261390,3890800,2672916,251467,83925,3853480,33763,166565511,526637,10838,5128299,526034,55785213,28127385
56516689,35,7,34,0,56516724,make_cv_sim_uk,make_wt_specs_single,49,1000,1,2e-06,200000,https://osf.io/hp25c/download,',+,1,f8e91f25-545e-8cb9-9718-664669b5a967,1.1,1.0,1.0,1.1,Sben1.1x/Gneu,7,Sben/Gneu,6524447,537713,6521824,4444384,421448,137306,6469708,60658,164707929,1496030,26598,19313955,1495406,55779354,28130175
56516689,35,5,34,0,56516716,make_cv_sim_uk,make_wt_specs_single,49,1000,1,2e-06,200000,https://osf.io/hp25c/download,',+,0,10d4fad1-bc3a-8c8a-bb1a-3e049dfbddea,2.0,1.0,0.5,2.0,Sben2x/Gdel2x,5,Sben/Gdel,4525141,335781,4523725,3087001,283070,92863,4491480,35271,165607425,938511,16987,12082012,938834,55924992,28206342
56516689,35,19,34,0,56516759,make_cv_sim_uk,make_wt_specs_single,49,1000,1,2e-06,200000,https://osf.io/hp25c/download,',+,2,29df904b-2a70-8bfb-b945-d20ebb4eb907,2.0,1.0,0.5,2.0,Sben2x/Gdel2x,19,Sben/Gdel,3850864,226625,3847408,2638289,258108,79069,3811367,33851,165917394,629814,14148,7361226,627847,55625067,28052613
56516689,35,25,34,0,56516766,make_cv_sim_uk,make_wt_specs_single,49,1000,1,2e-06,200000,https://osf.io/hp25c/download,',+,3,0df8051c-0c9a-8f93-b8d9-d11f52c10d2d,1.3,1.0,0.75,1.3,Sben1.3x/Gdel1.3x,25,Sben/Gdel,4873760,368494,4862839,3309453,314614,101924,4828760,47489,165591801,985399,22179,12443827,985167,55582659,28031967
56516689,35,30,34,0,56516777,make_cv_sim_uk,make_wt_specs_single,49,1000,1,2e-06,200000,https://osf.io/hp25c/download,',+,4,29143eaa-000f-832e-95e4-edb14e6958b1,2.0,1.0,1.0,2.0,Sben2x/Gneu,30,Sben/Gneu,7760149,750087,7750069,5264516,494633,168095,7695216,70080,164733597,1786840,34645,22996296,1785290,55662453,28065726
56516689,35,27,34,0,56516772,make_cv_sim_uk,make_wt_specs_single,49,1000,1,2e-06,200000,https://osf.io/hp25c/download,',+,3,bc02d4dc-d4e0-84f7-9aa9-a642dc7d09fe,1.0,1.0,1.0,1.0,Sneu/Gneu,27,Sneu/Gneu,6103562,552135,6102118,4149298,391303,133880,6044733,54857,165238308,1371905,25381,17597367,1371429,55818972,28147752
56516689,35,0,34,0,56516693,make_cv_sim_uk,make_wt_specs_single,49,1000,1,2e-06,200000,https://osf.io/hp25c/download,',+,0,7f02ab73-bb7d-8cb6-a55d-aea1dbdf3976,1.1,1.0,1.0,1.1,Sben1.1x/Gneu,0,Sben/Gneu,4503186,344296,4505433,3080943,292170,89552,4450595,37545,166104603,699799,13875,7494498,698126,55337697,27910602
56516689,35,6,34,0,56516717,make_cv_sim_uk,make_wt_specs_single,49,1000,1,2e-06,200000,https://osf.io/hp25c/download,',+,0,5a2275ba-3d97-8280-b98d-2ce7e53b5da9,1.0,1.0,1.0,1.0,Sneu/Gneu,6,Sneu/Gneu,5822542,499240,5833118,3989434,379106,126513,5779938,48850,165942504,1146480,19421,13929354,1147612,55762614,28119294
