SLURM_ARRAY_JOB_ID,SLURM_ARRAY_TASK_COUNT,SLURM_ARRAY_TASK_ID,SLURM_ARRAY_TASK_MAX,SLURM_ARRAY_TASK_MIN,SLURM_JOB_ID,cfg_make_cv_sim_recipe,cfg_make_wt_specs_recipe,cfg_maxseqlen,cfg_n_imports_mx,cfg_num_mut_sites,cfg_p_wt_to_mut,cfg_pop_size,cfg_refseqs,cfg_suffix_mut,cfg_suffix_wt,replicate_num,replicate_uuid,trt_eff_size,trt_mutmx_active_strain_factor,trt_mutmx_rel_beta,trt_mutmx_withinhost_r,trt_name,trt_seed,trt_type,cumulative_infections,cumulative_reinfections,cumulative_infectious,cumulative_symptomatic_cases,cumulative_severe_cases,cumulative_critical_cases,cumulative_recoveries,cumulative_deaths,cumulative_tests,cumulative_diagnoses,cumulative_known_deaths,cumulative_quarantined_people,cumulative_isolated_people,cumulative_vaccine_doses,cumulative_vaccinated_people
56543307,35,29,34,0,56546986,make_cv_sim_uk,make_wt_specs_single,19,1000,1,2e-06,1200000,https://osf.io/hp25c/download,',+,4,7d1a159b-4174-87a2-8e51-1d0e35459de2,1.3,1.0,1.0,1.3,Sben1.3x/Gneu,29,Sben/Gneu,5798301,482997,5796669,3946864,375185,127753,5747000,53516,163271664,1305037,26466,17050180,1304929,55094246,27787082
56543307,35,2,34,0,56544020,make_cv_sim_uk,make_wt_specs_single,19,1000,1,2e-06,1200000,https://osf.io/hp25c/download,',+,0,05a83825-5b38-8b1b-b6d2-c28d0c293a64,2.0,1.0,1.0,2.0,Sben2x/Gneu,2,Sben/Gneu,5088495,395907,5090794,3463974,326191,108348,5043603,47402,163656270,1112379,22801,14494403,1111960,55099582,27791728
56543307,35,19,34,0,56546734,make_cv_sim_uk,make_wt_specs_single,19,1000,1,2e-06,1200000,https://osf.io/hp25c/download,',+,2,6a99c29c-9ce6-8631-9bb3-68b66f754400,2.0,1.0,0.5,2.0,Sben2x/Gdel2x,19,Sben/Gdel,3538298,233264,3537688,2423801,227021,75873,3507134,31934,164531282,582405,12391,6759470,582480,55135968,27802262
56543307,35,23,34,0,56546774,make_cv_sim_uk,make_wt_specs_single,19,1000,1,2e-06,1200000,https://osf.io/hp25c/download,',+,3,90c9225e-0c2b-8edf-a95d-279c5cbcd5f2,2.0,1.0,1.0,2.0,Sben2x/Gneu,23,Sben/Gneu,4463799,332944,4464549,3042737,282087,93836,4422207,41017,163935996,974841,18271,12828646,974651,55056802,27768130
56543307,35,4,34,0,56545348,make_cv_sim_uk,make_wt_specs_single,19,1000,1,2e-06,1200000,https://osf.io/hp25c/download,',+,0,d2b0c8b2-0b2d-825d-bd66-aa8cfc473b25,1.3,1.0,0.75,1.3,Sben1.3x/Gdel1.3x,4,Sben/Gdel,3793077,257318,3793203,2600091,242704,79885,3760063,33588,164315588,721320,13788,9135164,721117,55099536,27788278
56543307,35,13,34,0,56546295,make_cv_sim_uk,make_wt_specs_single,19,1000,1,2e-06,1200000,https://osf.io/hp25c/download,',+,1,662d99a2-e173-8e89-8141-454275e0a17d,1.0,1.0,1.0,1.0,Sneu/Gneu,13,Sneu/Gneu,4775334,369377,4775086,3255240,305151,101188,4732775,43139,163829138,1116916,22012,14976011,1116669,55132564,27801342
56543307,35,15,34,0,56546297,make_cv_sim_uk,make_wt_specs_single,19,1000,1,2e-06,1200000,https://osf.io/hp25c/download,',+,2,773c2d4a-c5cd-8036-9eea-c9606d99da7f,1.3,1.0,1.0,1.3,Sben1.3x/Gneu,15,Sben/Gneu,5103475,397914,5101629,3477828,323740,107347,5060354,45001,163764554,1076468,20519,13795962,1076449,55087070,27784966
56543307,35,12,34,0,56546294,make_cv_sim_uk,make_wt_specs_single,19,1000,1,2e-06,1200000,https://osf.io/hp25c/download,',+,1,dae7f798-18e4-8b96-8a65-7737d0afcb26,2.0,1.0,0.5,2.0,Sben2x/Gdel2x,12,Sben/Gdel,2844378,179103,2846120,1942356,179255,60402,2821169,24496,164504142,482991,9853,5804718,482973,55062046,27769648
56543307,35,33,34,0,56547865,make_cv_sim_uk,make_wt_specs_single,19,1000,1,2e-06,1200000,https://osf.io/hp25c/download,',+,4,02e78687-647f-8589-871d-69d40c582380,2.0,1.0,0.5,2.0,Sben2x/Gdel2x,33,Sben/Gdel,3427419,225031,3427291,2350091,217604,72090,3398284,31401,164522634,658135,13496,8296983,658101,55174470,27822732
56543307,35,14,34,0,56546296,make_cv_sim_uk,make_wt_specs_single,19,1000,1,2e-06,1200000,https://osf.io/hp25c/download,',+,2,c15152f0-cb8c-8dae-919f-364591c0e026,1.1,1.0,1.0,1.1,Sben1.1x/Gneu,14,Sben/Gneu,4544274,344234,4547647,3100705,289399,96522,4506437,41887,163902048,946744,19523,12248293,946511,55070234,27775950
