SLURM_ARRAY_JOB_ID,SLURM_ARRAY_TASK_COUNT,SLURM_ARRAY_TASK_ID,SLURM_ARRAY_TASK_MAX,SLURM_ARRAY_TASK_MIN,SLURM_JOB_ID,cfg_make_cv_sim_recipe,cfg_make_wt_specs_recipe,cfg_maxseqlen,cfg_n_imports_mx,cfg_num_mut_sites,cfg_p_wt_to_mut,cfg_pop_size,cfg_refseqs,cfg_suffix_mut,cfg_suffix_wt,replicate_num,replicate_uuid,trt_eff_size,trt_mutmx_active_strain_factor,trt_mutmx_rel_beta,trt_mutmx_withinhost_r,trt_name,trt_seed,trt_type,cumulative_infections,cumulative_reinfections,cumulative_infectious,cumulative_symptomatic_cases,cumulative_severe_cases,cumulative_critical_cases,cumulative_recoveries,cumulative_deaths,cumulative_tests,cumulative_diagnoses,cumulative_known_deaths,cumulative_quarantined_people,cumulative_isolated_people,cumulative_vaccine_doses,cumulative_vaccinated_people
56516680,35,0,34,0,56516740,make_cv_sim_vanilla,make_wt_specs_uk,49,100,1,2e-06,200000,https://osf.io/hp25c/download,',+,0,a8d4f05b-1043-860c-a858-18814a290c12,1.1,1.0,1.0,1.1,Sben1.1x/Gneu,0,Sben/Gneu,1210472,1010743,1202276,607842,20291,5996,1185064,2167,0,0,0,0,0,0,0
56520083,3,34,34,3,56520083,make_cv_sim_vanilla,make_wt_specs_uk,49,100,1,2e-06,200000,https://osf.io/hp25c/download,',+,4,c56beb9d-532c-8638-93e2-35f5e4563d64,1.0,1.0,1.0,1.0,Sneu/Gneu,34,Sneu/Gneu,1208526,1008763,1200584,607348,20059,6028,1183189,2183,0,0,0,0,0,0,0
56516680,35,19,34,0,56516808,make_cv_sim_vanilla,make_wt_specs_uk,49,100,1,2e-06,200000,https://osf.io/hp25c/download,',+,2,97fe7b7d-aa89-8727-b24f-c7780efe28b4,2.0,1.0,0.5,2.0,Sben2x/Gdel2x,19,Sben/Gdel,1204702,1004936,1197455,605561,20025,5974,1181555,2229,0,0,0,0,0,0,0
56516680,35,20,34,0,56516820,make_cv_sim_vanilla,make_wt_specs_uk,49,100,1,2e-06,200000,https://osf.io/hp25c/download,',+,2,5cb2645f-38f3-8478-a5ea-bfc9d9108460,1.0,1.0,1.0,1.0,Sneu/Gneu,20,Sneu/Gneu,1208627,1008859,1200874,607628,20019,5990,1184191,2161,0,0,0,0,0,0,0
56516680,35,29,34,0,56516832,make_cv_sim_vanilla,make_wt_specs_uk,49,100,1,2e-06,200000,https://osf.io/hp25c/download,',+,4,327950cf-f39e-8c1f-9546-dd1ad23e18fb,1.3,1.0,1.0,1.3,Sben1.3x/Gneu,29,Sben/Gneu,1218078,1018315,1209998,611845,20377,6084,1192703,2206,0,0,0,0,0,0,0
56516680,35,22,34,0,56516824,make_cv_sim_vanilla,make_wt_specs_uk,49,100,1,2e-06,200000,https://osf.io/hp25c/download,',+,3,bc2a2b7d-2f76-8593-a554-7121cc75cc69,1.3,1.0,1.0,1.3,Sben1.3x/Gneu,22,Sben/Gneu,1212855,1013085,1205203,609772,20062,6090,1188317,2258,0,0,0,0,0,0,0
56516680,35,8,34,0,56516796,make_cv_sim_vanilla,make_wt_specs_uk,49,100,1,2e-06,200000,https://osf.io/hp25c/download,',+,1,2c7fcc59-bc55-8639-8a5b-02acf1b70aa2,1.3,1.0,1.0,1.3,Sben1.3x/Gneu,8,Sben/Gneu,1209167,1009405,1201482,607797,19891,6110,1184159,2235,0,0,0,0,0,0,0
56516680,35,14,34,0,56516802,make_cv_sim_vanilla,make_wt_specs_uk,49,100,1,2e-06,200000,https://osf.io/hp25c/download,',+,2,c65dc6a9-3280-83b1-bb63-aa4c4ed25f26,1.1,1.0,1.0,1.1,Sben1.1x/Gneu,14,Sben/Gneu,1215529,1015779,1207676,610252,20308,6017,1190448,2140,0,0,0,0,0,0,0
56516680,35,15,34,0,56516803,make_cv_sim_vanilla,make_wt_specs_uk,49,100,1,2e-06,200000,https://osf.io/hp25c/download,',+,2,f1e39af0-7209-8ad6-99b0-b7efa948d1dc,1.3,1.0,1.0,1.3,Sben1.3x/Gneu,15,Sben/Gneu,1215151,1015373,1207830,610428,20336,6164,1191082,2210,0,0,0,0,0,0,0
56516680,35,7,34,0,56516791,make_cv_sim_vanilla,make_wt_specs_uk,49,100,1,2e-06,200000,https://osf.io/hp25c/download,',+,1,9127f0eb-ec5c-80d1-bd83-8a4ce39160e6,1.1,1.0,1.0,1.1,Sben1.1x/Gneu,7,Sben/Gneu,1210707,1010968,1203001,608591,20069,6066,1186260,2153,0,0,0,0,0,0,0
